Grass,Prey,Predator
5442158,29,78
5439905,29,78
5437465,28,78
5435762,28,78
5433942,28,78
5432163,28,78
5430236,28,78
5429622,28,78
5428437,28,78
5427196,28,78
5425182,28,78
5423715,30,78
5422603,30,78
5421644,30,78
5419947,30,78
5418296,32,78
5416909,32,78
5415448,32,78
5414412,34,78
5412741,36,78
5410168,36,78
5408516,37,78
5405974,39,78
5403838,42,78
5401309,43,78
5398725,44,78
5395915,45,78
5394019,45,78
5391478,46,78
5389325,46,78
5386102,47,78
5383366,49,78
5381019,51,78
5377006,53,78
5373876,53,78
5370478,54,77
5368020,56,77
5364720,56,77
5361641,58,77
5357848,60,77
5353429,63,77
5349961,63,77
5346749,64,77
5342700,64,77
5338996,66,77
5335484,74,77
5330323,75,77
5326986,77,77
5322081,80,76
5318185,82,76
5314627,83,76
5310556,84,76
5306561,85,76
5302521,86,76
5298593,88,76
5294018,89,76
5288915,89,76
5284934,92,76
5280806,98,76
5275139,103,76
5269340,106,76
5263821,112,76
5256978,114,76
5251646,117,76
5245606,118,76
5239615,119,76
5232195,118,76
5226045,120,76
5218817,123,76
5211001,126,76
5203325,130,77
5195469,132,78
5187844,136,78
5181008,137,79
5173884,138,78
5166236,142,79
5157843,145,79
5148554,148,79
5139531,153,79
5131337,159,79
5121861,165,79
5112850,166,79
5103130,172,79
5093857,177,79
5083458,186,79
5074649,188,79
5063303,191,79
5051352,195,80
5040025,200,80
5028630,204,81
5016655,205,83
5005326,208,85
4992888,216,87
4980450,218,87
4968379,221,89
4954428,226,89
4939690,233,89
4924917,238,89
4910090,244,89
4893705,250,89
4876648,261,89
4857176,270,89
4838780,279,89
4819175,289,89
4797672,298,89
4776594,308,89
4755333,311,89
4734916,320,90
4711709,329,90
4690515,337,90
4668513,341,90
4647047,354,92
4623420,367,93
4599106,372,93
4576119,379,93
4551377,391,94
4526232,400,95
4499856,405,97
4475553,419,98
4448822,429,100
4422774,443,102
4393734,451,104
4364882,462,105
4335646,480,105
4304778,490,104
4273869,502,103
4241091,516,106
4207902,523,107
4172812,542,110
4138787,549,112
4103858,566,114
4070384,582,115
4033515,589,119
3998990,598,120
3962109,612,123
3925409,627,127
3888633,635,129
3852501,657,132
3813340,671,133
3774381,684,134
3736097,697,136
3695942,720,138
3656252,735,138
3613932,751,139
3570921,764,142
3530136,776,145
3487433,792,148
3445229,808,152
3400865,827,153
3353637,846,157
3305910,850,160
3259101,871,161
3211704,892,166
3162115,913,166
3113933,937,169
3065440,952,174
3018330,979,177
2969675,1003,183
2922606,1019,185
2872899,1033,190
2824902,1046,194
2775344,1061,199
2726669,1084,204
2680101,1104,205
2633433,1118,208
2586102,1134,212
2539297,1146,216
2495604,1161,220
2453231,1170,224
2411541,1179,234
2369400,1192,243
2327336,1201,248
2285628,1224,250
2244602,1233,257
2204342,1249,262
2164988,1267,269
2128582,1276,274
2092710,1290,284
2055990,1297,288
2022249,1309,300
1988359,1324,308
1953205,1322,316
1919521,1327,321
1886753,1338,328
1851722,1344,336
1818064,1352,347
1784764,1362,354
1751694,1362,366
1720677,1365,374
1690745,1378,382
1662074,1374,391
1636375,1388,396
1610733,1388,404
1584433,1395,411
1557954,1402,416
1532619,1401,427
1507652,1405,435
1481794,1406,445
1455898,1407,450
1431576,1416,457
1407281,1418,439
1382881,1422,447
1360423,1423,463
