Grass,Prey,Predator,Time
5567247,30,76,1.0
5564764,29,77,2.0
5561913,29,77,3.0
5559431,29,76,4.0
5557194,29,76,5.0
5555533,29,76,6.0
5553904,29,76,7.0
5551675,29,76,8.0
5549960,30,76,9.0
5548532,29,76,10.0
5547051,29,76,11.0
5545096,30,76,12.0
5543012,31,76,13.0
5540827,35,77,14.0
5538374,36,77,15.0
5536409,36,77,16.0
5534731,36,77,17.0
5532407,36,77,18.0
5530062,36,77,19.0
5527738,38,77,20.0
5525828,39,77,21.0
5523307,40,77,22.0
5520882,41,77,23.0
5518713,43,77,24.0
5517066,44,77,25.0
5514069,47,77,26.0
5511468,47,77,27.0
5507581,49,77,28.0
5504341,50,77,29.0
5501278,54,77,30.0
5498141,55,77,31.0
5494999,58,77,32.0
5490488,59,77,33.0
5487166,60,77,34.0
5483607,61,77,35.0
5479614,66,77,36.0
5475152,67,77,37.0
5470952,68,77,38.0
5466867,69,78,39.0
5462316,71,78,40.0
5457340,72,78,41.0
5452629,74,78,42.0
5447228,77,78,43.0
5442027,80,78,44.0
5436010,80,78,45.0
5430184,84,79,46.0
5423881,86,79,47.0
5417581,88,79,48.0
5411806,90,79,49.0
5405442,91,80,50.0
5398781,98,80,51.0
5391242,98,80,52.0
5384127,99,80,53.0
5375573,104,80,54.0
5366624,108,80,55.0
5357056,113,80,56.0
5347259,120,80,57.0
5336233,125,80,58.0
5323898,130,80,59.0
5312617,136,80,60.0
5300853,138,80,61.0
5288488,144,80,62.0
5276121,148,80,63.0
5264020,156,80,64.0
5251500,161,80,65.0
5236554,168,80,66.0
5223186,166,80,67.0
5209825,172,80,68.0
5195395,180,80,69.0
5181514,184,80,70.0
5167225,191,80,71.0
5151228,197,80,72.0
5136017,209,80,73.0
5119070,213,81,74.0
5101893,217,83,75.0
5084572,224,83,76.0
5066348,224,84,77.0
5048791,237,85,78.0
5029580,247,85,79.0
5009551,255,85,80.0
4988688,262,85,81.0
4967613,270,85,82.0
4945823,279,85,83.0
4923374,288,86,84.0
4900228,296,87,85.0
4876275,312,88,86.0
4849373,325,88,87.0
4822491,336,88,88.0
4795344,341,88,89.0
4768448,350,89,90.0
4741510,355,90,91.0
4713038,373,90,92.0
4682485,391,90,93.0
4650454,399,94,94.0
4619646,413,94,95.0
4585351,431,94,96.0
4552221,451,95,97.0
4521722,456,95,98.0
4489342,466,97,99.0
4456399,473,99,100.0
4426390,484,101,101.0
4396421,496,103,102.0
4368301,498,107,103.0
4340858,510,107,104.0
4311170,528,109,105.0
4282161,540,110,106.0
4250744,555,110,107.0
4219254,569,112,108.0
4185648,580,115,109.0
4151526,600,115,110.0
4117519,616,116,111.0
4080352,627,117,112.0
4043915,642,118,113.0
4004813,654,119,114.0
3966769,674,120,115.0
3927341,684,122,116.0
3888178,695,123,117.0
3847314,713,124,118.0
3806755,731,124,119.0
3765322,745,126,120.0
3725342,762,129,121.0
3684351,777,132,122.0
3642017,786,136,123.0
3601360,800,141,124.0
3560211,818,143,125.0
3519648,829,143,126.0
3479114,845,146,127.0
3439935,856,150,128.0
3399255,874,151,129.0
3359156,885,155,130.0
3317875,902,157,131.0
3277492,912,162,132.0
3237073,926,165,133.0
3195542,934,169,134.0
3154205,946,174,135.0
3111999,961,182,136.0
3070465,982,185,137.0
3028547,995,190,138.0
2987365,1010,194,139.0
2945034,1029,198,140.0
2901820,1051,199,141.0
2857812,1061,203,142.0
2814145,1081,205,143.0
2770341,1095,210,144.0
2728073,1104,215,145.0
2683779,1126,219,146.0
2637967,1145,221,147.0
2592903,1160,223,148.0
2548851,1178,229,149.0
2502917,1194,233,150.0
2457811,1213,240,151.0
2411155,1221,246,152.0
2364760,1233,250,153.0
2319920,1254,254,154.0
2273026,1272,259,155.0
2226570,1282,267,156.0
2182028,1293,270,157.0
2138256,1306,275,158.0
2095423,1323,282,159.0
2052409,1331,290,160.0
2008640,1344,297,161.0
1965038,1352,304,162.0
1921280,1381,308,163.0
1877740,1389,315,164.0
1833045,1397,325,165.0
1790784,1413,335,166.0
1748002,1426,339,167.0
1704940,1434,347,168.0
1661612,1438,358,169.0
1619165,1440,372,170.0
1576615,1457,380,171.0
1534443,1455,394,172.0
1491140,1460,408,173.0
1447136,1477,418,174.0
1403255,1498,424,175.0
1360374,1504,437,176.0
1316937,1513,450,177.0
1274425,1515,460,178.0
1232898,1524,476,179.0
1191713,1525,494,180.0
1150708,1533,507,181.0
1109291,1536,520,182.0
1071123,1541,536,183.0
1036475,1552,550,184.0
1002082,1555,559,185.0
967021,1560,568,186.0
931875,1568,583,187.0
898544,1577,591,188.0
867640,1584,604,189.0
838683,1586,613,190.0
812331,1577,625,191.0
787399,1582,642,192.0
763994,1588,649,193.0
741219,1593,657,194.0
719364,1589,674,195.0
700369,1589,688,196.0
684089,1581,703,197.0
668797,1584,712,198.0
654969,1582,725,199.0
642711,1577,740,200.0
633479,1572,735,201.0
624738,1568,747,202.0
617332,1563,760,203.0
610299,1554,772,204.0
603349,1548,787,205.0
597404,1536,797,206.0
591614,1526,809,207.0
586055,1517,835,208.0
581262,1512,851,209.0
576964,1504,865,210.0
572749,1501,874,211.0
570152,1488,890,212.0
567766,1472,906,213.0
565327,1460,922,214.0
562958,1453,933,215.0
560726,1443,945,216.0
559903,1427,961,217.0
559517,1415,979,218.0
